India,1324171354,20.593684,78.962880
Cayman Islands,60765,19.513469,-80.566956
Lesotho,2203821,-29.609988,28.233608
New Caledonia,278000,-20.904305,165.618042
Pakistan,193203476,30.375321,69.345116
South Africa,55908865,-30.559482,22.937506
Antigua and Barbuda,100963,17.060816,-61.796428
Burundi,10524117,-3.373056,29.918886
Switzerland,8372098,46.818188,8.227512
Cases on an international conveyance Japan,3000,34.226008,139.113517
Saint Lucia,178844,13.909444,-60.978893
Norfolk Island,2169,-29.040835,167.954712
Steiermark,1240300,47.216322,15.394632
United Arab Emirates,9269612,23.424076,53.847818
Rwanda,11917508,-1.940278,29.873888
Sudan,39578828,12.862807,30.217636
Uganda,41487965,1.373333,32.290275
Papua New Guinea,8084991,-6.314993,143.955550
Paraguay,6725308,-23.442503,-58.443832
Oberösterreich,1473700,48.306821,14.286549
France,66896109,46.227638,2.213749
Gibraltar,34408,36.137741,-5.345374
Lebanon,6006668,33.854721,35.862285
Mozambique,28829476,-18.665695,35.529562
Togo,7606374,8.619543,0.824782
Taiwan,23780452,23.697810,120.960515
Kosovo,1816200,42.602636,20.902977
Albania,2876101,41.153332,20.168331
Aruba,104822,12.521110,-69.968338
Guam,162896,13.444304,144.793731
Palestine,5052000,31.952162,35.233154
Luxembourg,582972,49.815273,6.129583
Vietnam,92701100,14.058324,108.277199
Zimbabwe,16150362,-19.015438,29.154857
Bahamas,391232,25.034280,-77.396280
Faroe Islands,49117,61.892635,-6.911806
Kuwait,4052584,29.311660,47.481766
Portugal,10324611,39.399872,-8.224454
Brunei Darussalam,423196,4.535277,114.727669
Cook Islands,17379,-21.236736,-159.777671
Ecuador,16385068,-1.831239,-78.183406
Croatia,4170600,45.100000,15.200000
Iran,80277428,32.427908,53.688046
Lithuania,2872298,55.169438,23.881275
United States of America,323127513,37.090240,-95.712891
Afghanistan,34656032,33.939110,67.709953
Gabon,1979786,-0.803689,11.609444
Japan,126994511,36.204824,138.252924
Martinique,376480,14.641528,-61.024174
Slovakia,5428704,48.669026,19.699024
Mayotte,270372,-12.827500,45.166244
Haiti,10847334,18.971187,-72.285215
Isle of Man,83737,54.236107,-4.548056
Cambodia,15762370,12.565679,104.990963
Qatar,2569804,25.354826,51.183884
Saint Vincent and the Grenadines,109897,12.984305,-61.287228
Cocos [Keeling] Islands,596,-12.164165,96.870956
Cape Verde,539560,16.002082,-24.013197
Fiji,898760,-16.578193,179.414413
Guinea,12395924,9.945587,-9.696645
Comoros,795601,-11.875001,43.872219
Kärnten,560900,46.668944,14.142250
Guadeloupe,395700,16.995971,-62.067641
Kazakhstan,17797032,48.019573,66.923684
Mauritania,4301018,21.007890,-10.940835
Mexico,127540423,23.634501,-102.552784
Peru,31773839,-9.189967,-75.015152
Slovenia,2064845,46.151241,14.995463
Swaziland,1343098,-26.522503,31.465866
Bulgaria,7127822,42.733883,25.485830
Laos,6758353,19.856270,102.495496
Liberia,4613823,6.428055,-9.429499
Mongolia,3027398,46.862496,103.846656
Malta,436947,35.937496,14.375416
Nauru,13049,-0.522778,166.931503
Israel,8547100,31.046051,34.851612
Iraq,37202572,33.223191,43.679291
Namibia,2479713,-22.957640,18.490410
Serbia,7057412,44.016521,21.005859
Georgia,3719300,42.315407,43.356892
Guatemala,16582469,15.783471,-90.230759
Chile,17909754,-35.675147,-71.542969
United Kingdom,65637239,55.378051,-3.435973
Romania,19705301,45.943161,24.966760
Timor-Leste,1268671,-8.874217,125.727539
Armenia,2924816,40.069099,45.038189
Cuba,11475982,21.521757,-77.781167
Czech Republic,10561633,49.817492,15.472962
Jamaica,2881355,18.109581,-77.297508
Panama,4034119,8.537981,-80.782127
Poland,37948016,51.919438,19.145136
Turkmenistan,5662544,38.969719,59.556278
Costa Rica,4857274,9.748917,-83.753428
Tunisia,11403248,33.886917,9.537499
Pitcairn Islands,67,-24.703615,-127.439308
El Salvador,6344722,13.794185,-88.896530
Falkland Islands,2840,-51.796253,-59.523613
North Korea,25368620,40.339852,127.510093
Sri Lanka,21203000,7.873054,80.771797
Botswana,2250260,-22.328474,24.684866
Denmark,5731118,56.263920,9.501785
Guyana,773303,4.860416,-58.930180
Uzbekistan,31848200,41.377491,64.585262
Cote dIvoire,24290000,7.667778,-5.560418
Benin,10872298,9.307690,2.315834
Central African Republic,4594621,6.611111,20.939444
Dominica,73543,15.414999,-61.370976
Italy,60600590,41.871940,12.567380
Maldives,417492,3.202778,73.220680
Nepal,28982771,28.394857,84.124008
Tokelau,1411,-8.967363,-171.855881
United States Virgin Islands,106405,18.343212,-64.931070
Curaçao,160337,12.102222,-68.931111
Sint Maarten,37132,18.024306,-63.0435
